,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment11,comment12,comment13,comment14,comment15,comment16,comment17,comment18,comment19,comment20,comment21,comment22,comment23,comment24,comment25,comment26,comment27,comment28,comment29,comment30,comment31,comment32,comment33,comment34,comment35,comment36,comment37,comment38,comment39,comment40,comment41,comment42,comment43,comment44,comment45,comment46,comment47,comment48,comment49,comment50,comment51,comment52,comment53,comment54,comment55,comment56,comment57
136,,,,,,,,,,,,,,,,,This message is great as it highlights the health improvements in just 12 weeks! A short time span which could inspire people to get started on quitting,,,,,,"This advice may appeal to some, but for me it wouldn't be a factor in me deciding to quit. ",,,,,,,,,,,,"This is a strong message. For people that may feel they have smoked too long for giving up to make any difference, it could motivate them to give it a go!",,,,,,,,,,,,,,"This message is good as it voices others who have been in this position, so the quitter can relate to something ",,,A very supportive tone,,,,,"I like this message as it's encouraging an alternative, which personally would want, rather than going full on cold turkey!"
137,,,,,,,,,,,,,,,,,,,"12 weeks isn't a very long time, so that's a positive fact to hear.",,,,,,,,,,,,,,,,,,"I get very out of breath, very easily. To know it could ease within 3 weeks makes me feel better.",,"One year is a short time, and a good time to improve the heart.",,"I found that using my hands for other things like colouring, reduces my smoking.",,,,,,,,It's good to know that it wouldn't stay as hard forever.,,,I'm very likely to do this before quitting completely.,,,,,
138,,,,,,,,,,,,,,,,,,,,,would love to taste stronger flavours ,,,I feel guilty for my children ,I do not feel I look old ,,,,,I do not want any more babies ,,,,,,,,,,,,,,,,,,,,,,,support helps ,"yes, planning is good but Champix is evil",,,
139,,,,,,,,,,,,,,,,,,,,,,,,"It is important that people, especially young people, do not breathe in smoke which could damage their health.",,,,,,,,,,,,,,,,Makes me think about the potential improvement of health which I would enjoy if I quitted.,"I never knew that physical activity would necessarily spark a reduction in the intensity of cravings, so that is good news.",,,,,,,It seems to be a clever way to stop certain habits by making changes to routines.,,,,"It would be a more novel way to get into the process of quitting when compared to rival, older alternatives.",,"It would get me in a focused, organised mood to structure the process of how quitting would be done.",,,
140,,,,,,,,,,,,,,,,,,,,,"It does make you think deep after reading this however, itâ€™s not enough",,,,,,"An addiction is an addiction, people care about how much is being spent on pleasurable habits",,,,,,,,,,,,,,,,,This statement sounds a bit more encouraging,,Not really sure what to say about this one. Iâ€™m a bit left sided,,,,,,,,,"As helpful as the statement may sound, it just isnâ€™t enough for someone who canâ€™t go a couple hours without smoking to try quitting.",,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,"Economic climate is lowering morale, so this is fairly inspiring ",Itâ€™s just interesting,,,Itâ€™s very long winded time wise ,I worry about my future having children ,,Morbid but true,,,,,,,,,I do vape a fair bit,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,This does motivate me to want to quit but not enough ,,,,,I have tried to quit smoking and all I did was eat to replace the cigarette cravings my activity wasnâ€™t as good as I felt low from not having any nicotine so I donâ€™t think the best advice is keep fit and eat healthy thereâ€™s more to it than that ,,,,,,I agree with this I quit smoking when I was pregnant as I knew it would increase health problems ,,,,,With a history of lung cancer in the family this really motivates me ,,,,,,,,I do find e cigarettes good but there is also negative points on not full evidence that they are safe to use and many true stories of e cigs catching fire ,,,,,,,,,The vape pens are really good I use this as a sub to help quitting ,,,,,,
143,,,,,,,,,,,,,,,,,,,Lung cancer scares me,,,,,,,,,,,,,,,,,,,Interested in when coughing stops,,Concerned about strokes,I tend to smoke whilst out walking ,,,,,,,,,,I enjoyed vapimg but lapsed,,,,I have had some serious health thoughts recently and am starting to worry about the side effects ,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was brought up in a second hand smoke environment, I put that down as the reason I started smoking ",,,,Without seeing evidence I would take this info with a pinch of salt ,,,"Smoking is only a small part of a bigger problem when it comes to life expectancy, to many warnings like this would probably make me smoke",,,,,,This would be helpful if there wasn't so 'evidence' against it funded by tobacco companies ,,Would this message be with additional information about the types of ways that can help? If so it would be fine,,,,,,,,,,,,,Lots of my friends vape now instead of smoke and are alot healthier 
145,,,,,,,,,,,,,,,,,,I have started going to gym more often and feel that smoking is preventing me achieving goals.,,,,,,,,,,,,,,,,,,,This is something I really want to achieve.,,Although the health warnings on packets are easy to ignore I often find myself thinking of the health implications.,,,,,,,,I agree. Days I am just at home with people who don't smoke makes it easier for me not to.,"I think this is true, but it's hard to break routines and habits.",I believe this to be true although I would need to avoid friends who smoke too ,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,I DONT SPOKE AROUND OTHERS,IT SORTA MOTIVATES ME,,,,,,BETTER MESSAGE. ALREADY HAVE LBP,,I DONT BELIEVE THIS,10 YEARS IS A LONG TIME SO DOESNT MOTOVATE ME,,,,,,,,BUT DOESNT PROVE THE RISKS,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,Nobody ever knows whats around the corner,It makes me want to re evaluate my smoking habits.,,A good motivational message ,,,,,,"When put like that, it is a good motivation to stop.",,,,This is already an issue i have due to other health problems ,,,,,A good reason for people to stop.,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's a powerful way to get over the fact that your smoking effects others and will encourage you to quit ,,,The message is a pull on the heart strings all parents want their kids to be healthy,,,,,,,,,,,,,It's good to know the outcomes,,,,,,,This is a positive message it shows capes can help you quit smoking,I believe the only person who can help you quit is yourself,This message does not appeal to me ,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,If money was enough motivation I'd have stopped long ago.,As previous,Shoes benefit within a short period of time so encouraging.,,,,,,,An encouragement ,,,,,,,,I think it's too soon to be making health claims about e-cigs.,Sounds a bit condescending.,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,good message,good message,,,,good message,,,,,,,don't no,,,,,,,,,,,,very true,,,,,,,,,,good message,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,shows you how uch money you could save that could be used for something useful,,,,,,,,,,,,Good health facts,,,i dont like exerise so this doesnt appeal to me,,,It tells you there is multiple ways you can stop smoking and one way or another will be successful for you,,,people might have a stressful life so this may not work,some poeple may not like to change routine due to certain factors,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,Clearly shows the effects of not smoking can make ,This message gives a few benefits which you can achieve from just stopping for 48 hours ,,,,,,,,,,,,,,,Tells me I can life a healthier longer life if Iâ€™m able to quit smoking,,,,,,,,,,,,,,Gives you ideas on what to do if you want to quit ,,,,Gives you ideas on how to manage your progress ,,Shows there are cheaper options to help quit smoking,
153,,,,,,,,,,,,,,,,,,,,It is a good message ,,,,,,,,,If it works,,Good message,,,,Makes a good point,,,,,,,,,,,Good if it works ,,,,,,,Support is always good,,,,
154,,,,,,,,,,,,,,,,,Great for health,,,,,,,Look at what others go through when you smoke,,,,,,,,,,,,,Helps to know the damage isn't permanent ,,,,,,I feel better about these,,,,,,Perseverance is keu,,There are other options ,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,"I've got problems with stress and anxiety so this seems a nice positive thought, & I imagine it would be for pay much anyone no matter how relaxed they are already! It's a change from the usual stop smoking messages as well which is good.",,,,,,,,,,,,,,,,,,,,,,,"I forget about how easy the Champix makes it so a reminder doesn't go amiss, and I think the statistic is helpful cos nobody wants to even try to stop if all the messages you get are going on about how hard it is (which I find they tend to be), better to have some confidence","As with the first line, NRT doesn't do it for me but I think the positive statistics are the right step as I said in my last answer, to give people a boost to begin","Just seems a bit obvious, maybe a little patronising...I doubt many people choose to try to quit on their most stressful day, surrounded by fags and other smokers!",,,,,,,,"Another one that is just common sense really - it's the sort of thing you think about but never actually do though, so a bit more helpful than the last one I think","I've tried NRT before and it didn't really help me so this message doesn't appeal to me personally; I think it would be good for some people though, particularly if they don't know they can get it free",
156,,,,,,,,,,,,,,,,,,"the main point here that i like, is the risk of heart disease halving in a year. ",,doesnt really make me want to stop. i feel my senses of taste and smell are fine ,,,,,,,,,,,,,,,,,,,,,advice of go for a  walk isnt great... i cant see that helping people. especially in winter.,,,,,,,,,,,this is ok.. although four times more likely to quit doesnt seem that much better.,,,not helpful for me.. just seems like work i have to do,,"everything is positive in this message, makes you want to give them a try"
157,,,,,,,,,,,,,,,,,,,,,,,,,Making people more aware that smoking ages them by this much such be publicised more.,,,,,This is important as it makes people more aware of the risks and benefits to smoking,,It just shows the importance of quitting,I wouldn't believe that it would be this much,,,,,,This is very important as it shows them that they will be much healthier and the drastic improvements that it will have if they stop.,,,,,,,Gum and patches help people stop smoking and more people need to be aware of this.,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,My weight has always been good ,,,,,,I have a big family ,,Really good to know,,,,Again great to get this info,,,Always good to know the fact ,,,,,,,,,,,,,,,,,,Iâ€™m always happy to save money ,
159,,,,,,,,,,,,,,,,,,As before,,,,,,,,,,As before,,,,,Positive messages like this do make me think more about giving up.  ,,,,,,,,I would find this advice helpful and would prefer to replace my smoking with positive things and not medication or other addictions,,,,,,,,,I do not agree with doctors prescribing anti depressants as smoking cessation aids.  I have had a very bad experience when I was prescribed these.  I was not deprssed so whilst the urge to smoke did disappear it effected my mental health badly.  Its a no brainer that you shouldnt prescribe anti depressants to people who are not depressed!!  I also dont agree with replacing one addiction with another. ,,,,,,,I think the vape contraptions look ridiculous and I dont think they have been in circulation or had enough testing over a long period of time to claim they are less harmful.
160,,,,,,,,,,,,,,,,,Good health info to try and encourage you,,It's a good message to try and encourage you,,It's good info to have to try and encourage you,,,,,,,,It's good info that I never really thought of,,,,,,,,,,,Again it's good as it lets you know about the health benefits,,,,,,,It's good advice but it's hard to tell if you will have a stressful day,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,I think it will get used for home improvements.,This is an interesting fact that I did not know previously.,,,,"This makes me feel guilty as my daughter has asthma and I always wonder if it is my fault,",This motivates me to quit as I think about being around for my daughter as long as I can.,,,,,,,This is something that stops and makes me think as it isn't one of the first things that springs to mind when I think of the reasons for quitting.,,,,,,,,,,,,,,,,,"I have used them in the past but am not convinced by the research, I am sure that ecigs are not completely safe."
162,,,,,,,,,,,,,,,,,,,,,,,,Knew this ,,,,,,,,,,,Didnâ€™t know that ,,Very motivating and interesting ,,,,,,Doesnâ€™t tell me anything I donâ€™t already know really ,,,,,,I donâ€™t think Iâ€™d Finsbury it hard to quit ,,Didnâ€™t know they gave advice at the shop ,,,,,,
163,,,,,,,,,,,,,,,,,,Not all diseases are smoking related. ,,,,I am not usually stressed,,,My skin will still age even if i stop smoking .,It would be nice to have that much money.,,,,,,,,,,,,,,,,,,,,,,It is hard to break habits.,,,,I do not like e ciggerettes,,,,,
164,,,,,,,,,,,,,,,,,10 years of not smoking sounds too long and makes me wonder if I could do it,,,,,"I donâ€™t agree with this, as when Iâ€™ve quit in the past Iâ€™ve become easily stressed and frustrated ",,,Everyone wants to look their best,,,,,,,,,It just seems so long to see the big benefits of not smoking,,This motivates me because an extra 10 years of life is definitely worth at least trying to quit,,,,,,,,,,,,,,I have heard about people getting addicted to the nicotine replacements and then returning to smoking ,,,,,,,
165,,,,,,,,,,,,,,,,,This would obviously motivate me since having clean lungs would make me less worry.,,,,"This I do agree with because having too much to smoke can have your ability to u change the way you taste and smell, because this has happen to me a few times.","While I do agree with the message above that stress usually goes down when quitting smoking, but I feel like i'm in the middle of this because it depends on the type of person who can be able to handle less stress if they quit smoking or they need smoking to handle it.","To me, gaining weight when stop smoking wouldn't worry me because I am one of those type of people who are more worried about losing weight.",,,,,,,,,,,,,,,,,,,,,,,"While this message is helpful to others, I feel like patches don't really help me compared to other methods.",,,,,,,,,,,I 100% agree with this since i've started using e-cigarettes and they have helped a lot.
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seeing this having a small child makes me want to quit more so...,,,,watch the family grow old and use the money for the better,,,,,,,,you have got to be in the right frame of mind to do it,I think they can be a really great help if you want to do it.,,you cannot predict how a day is going to run no matter how much u prepare and plan,,,,,,When quitting you need all the help you can get.,,,,
167,,,,,,,,,,,,,,,,,,,"In my personal opinion, we are all going to die of something eventually so this wouldnâ€™t really motivate me into quitting.",,,,,Most of the people around me smoke too so this really wouldnâ€™t motivate me to want to quit.,,,,,,,,,,,,,,,,,,When I hear â€œe-cigarettesâ€ I automatically think â€œVapesâ€ which I personally donâ€™t think are very safe.,,,,,,"A cigarette at work is an excise for a break, if I donâ€™t need a cigarette I wonâ€™t get a break.",,I feel a more personal approach would appeal to me better.,,,"Iâ€™ve tried to quit before and Iâ€™ve felt bad asking others to not smoke near me, this message would make me feel more at ease about speaking with other smokers and asking them to smoke outside when visiting my house.",,,,
168,,,,,,,,,,,,,,,,,,,,sounds good that only after 5 days nicotine is nearly out your body ,,,i would put on weight because i would eat more insteead of smoke ,,,,,,,,its nice to know you have less chance of stroke or hert attack ,,,,,,,,,,,,,,,,most days are stressfull and most people i know smoke ,,,,,i dont like the thought of e cigarettes ,,,,,i dont beilieve they are as safe as people say 
169,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't smoke a pack a day (smoke 6-7 rollies) so irrelevant ,,,I already have 4 children!!!!,,,,,,,,I like knowing that a difference can be made in a short space of time,"One year is long, and halved doesn't sound great. You could better word this as ""You are twice as likely to have a heart attack if you keep smoking than if you stop today"" or similar ",,,"I hate e cigarettes, it's just getting addicted to something else, can't see the point even if it's less harmful. I really disagree with them ",,,,Useful statistic but if the government REALLY wanted to help they should make tobacco companies fund them ,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,Unsure if this is a valid reason that would stop someone quitting sounds more like an excuse but nice to know that research shows you don't,,,,,,,,,,,Straight talking in forces the health benefits of quitting and is backed by research,,,,,,,,,,,Encourages you to take the first step and informs you of the various options available,,,,,,,,,Clear information explains what you should do should you plan to quit also tells u about options available,Unsure how this would help with motivation,Promotes the financial benefit of quitting as well as an available quitting option,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,As someone with heart issues that is a scary statistic that I don't disagree with. ,,,"I agree, smoking does cause lots of problems. Even after not smoking for a week my lungs feel better. ",,,,,,,,,,Releasing endorfins through exercise has a large positive impact on your mood. ,,,,"I've never tried them. My friend has and it didn't work for him, however I don't think he truly wants to quit yet. ","It all depends on the person, if they truly want to quit they will. However if deep down they still need it they will be less effective. ",,,,,"Vape is almost harmless on the lungs, however it just doesn't have the same effect as a good smoke. ",,,,,,
172,,,,,,,,,,,,,,,,,10 years seems like a huge amount of time for only half the risk. Smoking is something I still find enjoyable due to social factors.,,,,I was actually unaware that nicotine reduces my ability to taste and smell. This also makes me less likely to switch to alternatives to smoking such as e-cigarettes. ,,,,,,,,,,,,"Six hours per day is a huge amount of time resulting in almost 2 days extra lifespan for each week I quit, very convincing to quit.",,,,A well known fact and very convincing. ,,,"The lack of actual values in the statement makes it seem less provoking. I cut my risk sure, but by how much? 1%? Not as convincing then. Still as it happens immediately it would be worth stopping.",,,,,,,,,The first weeks are obviously the hardest and is the reason so many people are unable to stop smoking. I know if I made it past these weeks it would be much easier but it makes it a lot harder to partake in any activities during these first couple of weeks due to the cravings.,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,See this makes me want to quit as I love to eat and I knOw smoking effects your tatses,I'm not sure if this is the case as I have friends who need to chew gum or have a fidget spinner to take their minds of things ,,,,,Save up for a deposit for a new home,It makes me want to quit but the feeling to smoke is much more stronger,,,,,,I feel this message would motivate a lot of people who are wanting to quit,,Spend time with family and friends and maybe do things I've always wanted to do such as learn to swim ,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,i feel that the excessive consumption of cigarettes ages your skin especially if starting at a young age,"i feel the money i save spending on packets would just be spent on something else therefore i wont be saving any money, would most likely be spent on alcohol",feel this money would be used on another habit which people will frown upon such as alcohol consumption,,,im currently not in a relationship and see no children in my future,,,,,,,,,,,,,feel that i should be able to use this product in public places and not be near smokers outside,,,,,i feel that this will be replaced with a different type of habit which wont be any help to me,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,Another strong positive message that is without judgement - these are much more motivating and hopeful,,,I like the first sentence - but the second sentence sets up for failure...if someone doesn't feel more relaxed once they've quit they will feel doubly awful.,,,,,,,,,,,,"This is a hopeful and positive message, without judgement.",,,,,,,,Swapping one addiction for another seems counter intuitive to me.  I am also not sure if e-cigs are quite as positive exchange as they are touted as.,,,,,,,,,,,I think that is just an excuse...it gives one a reason to behave badly around smoking cessation.,,I'm not convinced that this is a good strategy - I feel it is much better to remind yourself that you are now a non smoker - messages like this remind you that you are at heart a smoker,,
176,,,,,,,,,,,,,,,,,,,,,,,yes,,,,whoa,,,,,,,,,,,,,,mhm,,,,,,,,,,,yummy,,no,,It assists me in stopping smoking ,
177,,,,,,,,,,,,,,,,,,while the message reads well i am of the opinion that what is for you wont go by you,,,,,, dont really believe in passive smoking hurting others,this i believe is true so a point though if you have smoked for years the damage cant be repaired,,,,,,,i dont know if  i agree with this as a lot has to do with the enviroment that we love in not just smoking,,i dont believe this if you are going to get lung cancer you will get it whether you smoke or not,as wth the previous queston i am of the opinion that what is for you wont go by you,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,I like that it makes quitting look easier by giving time limits to the withdrawal process. ,,,,,,,,,,,,,,,,,,,,,,Everyone knows ecigs are better for health than real ones,Provides an alternative to smoking and says it's effectiveness ,Provides optimism and encouragement,Provides hope and a solution but I don't like the idea of having g to visit the doctor. These things should be easily available to buy. ,,,,,It seems the same old message that is always said.,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sometimes people can be more motivated to do something for others than for themselves and I'm one of those so this is encouraging, but I don't tend to smoke around others who do not smoke.",,,This doesn't really motivate me as I don't have any children at home and never smoke around children.,,,At 50 I'm beginning to worry about my health and being there for family so this is very motivational.,,,,Very encouraging to know such an important benefit that will happen after one year!,,,,,"It feels like when you decide to stop smoking you are going into something very difficult and with a fear of failure so the pressure is huge and with a busy, stressful lifestyle you keep putting it off! This message helps take away some of the pressure, we can consider starting the process towards stopping smoking sooner than we think, it's not a failure to not succeed perfectly.",,,,,,I think most of us know this. Information from GP or pharmacist comes across rather coldly and tends to make me feel like I have a medical problem (which it kind of is) so not very encouraging message.,,,,,,,
180,,,,,,,,,,,,,,,,,I like the fact that it cut the chances of cancer down.,,I didn't realize that the lungs could clean themselves!,,,,,,,,,,,,,,,,,,I do feel out of breath when I walk for a short while. This is a motivating statement.,"Again, I like the sound of having clean lungs again!",,,,,,,,,,"Why this may work for some people, I tried and it didn't work for me.",,,I've already tried the e-cigarette and found I've cut down on smoking since doing this.,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is useful and encouraging information,I never smoke around friends or amily so would not apply to me personally,,,,,,,,,,,This is encouraging to know,,,,,This is something most people are already aware of,,,,,,,,"I am already aware of this, it would not make much difference",,,,It might be helpful but I need more information about them
182,,,,,,,,,,,,,,,,,,,,I do notice a lack of fitness due to my smoking and to get back some energy would be a major boost to my everyday life,,,,I do feel guilt and even when smoking outdoors I try to stay away from people and blow my smoke straight up in the air to avoid passive smoking,,,,,,,,,,,,See my children grow up and hopefully my future grandchildren as well and be still able to have an active part in there lives,,I have a year long round couch which I know is caused from my smoking so to have clean healthy lungs would be great,,,,,,,,,,,,,,,,Yes I do try and have a structured action plan for giving up. However the day to day stresses of family and work often mean my best laid plans to not work,,I have tried the replacement therapy and it just does not work for me the only thing is cold turkey,
183,,,,,,,,,,,,,,,,,Didn't know about the drop in lung cancer but understood the other part,,,,,,,,,,,,,,,,,,I don't know about the percentages but have heard the risk does drop,Can't imagine the nhs or the government wanting us to live longer,,,,,,,Swapping one for another isn't my idea of quitting,,,,,,I believe that to be true but dread the first weeks or months if going cold turkey ,,"We don't know the long term effects of vaping yet, I haven't heard anything concrete either way",,,,,,
184,,,,,,,,,,,,,,,,,,,,,"It's a clear and factual message that is positive about not smoking rather than negative about smoking, which makes it more attractive ",,,,,,,,,My partner and I decided some time ago not to have children so this message has a minimal impact. I am aware that this is selfish justification but it doesn't sway my opinion ,"This is a far harder message than the first, however because it concerns heart function, it is more powerful. ",,"The hundreds of thousands is a bit patronising - smokers know what they are doing is harmful. Also, I think this message is less impactful as we don't know the circumstances of our death, and we use this as a subliminal excuse",,,,,,,,,,,,,,"It's helpful but also obvious. Managing giving up is also a personal thing, and could be seen as patronising ",,,,,,,,"Reflecting on the reason behind quitting is positive, and self motivation is powerful when you are convinced by it. ",,
185,,,,,,,,,,,,,,,,,,,,,,Maybe research shows that stress decreases when you quit but personally I find that spending 5-10 minutes smoking gives me time when I don't have to think about the stresses in my life and I can have time to myself to think. I think that if I were to quit I would find it hard to motivate myself to spend the same amount of time where I'm not thinking about the stresses of life,,,,Money is always a good incentive to help people quit,,,,,,,,,,Defining the extra amount of time that people can expect to live longer due to quitting smoking is helpful. It also makes smokers think about their own mortality and helps them to decide if smoking is really worth it,,,This is probably a better message for older smokers who are probably already thinking about their own mortality or who may have already had heart issues. It's probably not such a good message for younger smokers as the effects of heart disease will probably feel quite distant to them,,,,,,,It's a helpful message to show the effect alternatives can have on quitting or reducing smoking,,,"It's a good message for people who are looking to quit smoking or have recently stopped. It let's them know that the physical cravings will pass and it will get easier over time. On the other hand, it can be demoralising for people who try to stop but then relapse. It can make them feel like it's their own fault and that they are weak for not being able to resist",,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,good idea showing someone a timescale in an example might encourage them to consider stopping,,,,,,,,,this is unrealistic not everyone that quits will get these results,,,any information that could help someone is worthwile,the gentle approach works in the example,i think this is better than the very graphic pictures,,,,,,this is also a good idea and am happy that there is no scare tactics in it,,,,,,,,,
187,,,,,,,,,,,,,,,,,,Some types of people live on a day to day basis and cant ever think about the future.,,"Again thinking of ""future""  weeks is just not possible  for some people.",This message doesn't motivate me much because there isnt much reward  for  stopping  something I really enjoy.,,I do  worry about weight gain.im very active already,,,,,,,,,,,,,,,,,,,,,,,,This is quite a good idea.,,,,,I havent seen any  stats about the dangers of vaping or  e cigarettes,,,,,
188,,,,,,,,,,,,,,,,,it would encourage me to believe i am benefiting my health to quit,,,,,,,,,,the monetary aspect is definitely a big motivating factor.,,this would definitely help as it would put my sons health into my mind,,,,,,,,,,,,,,,,,it would help for the same reason as the first it would help me knowing there are products that can help,,,,when i am trying to quit it is a lot harder with no assistance so this would help me along,,,,it may help it may not if i think about smoking it makes me want to smoke im better just ignoring it all together.,,,
189,,,,,,,,,,,,,,,,,,,Its not as easy to give up smoking as that i have tried several times and found it really hard ,,,,,I try not to smoke around people that don't smoke ,,Money would be a big motivator in quitting ,,,,I am sterilized so don't plan on any more children ,I am already high risk of having a stroke so quitting smoking isn't going to change that ,,,,,,,,,,,,,,,,,,,,,,,,,,I have tried an ecig but I always revert back to a normal cigarette 
190,,,,,,,,,,,,,,,,,,,I think the only off putting thing is that 10 years is a long time.  Maybe to would be more of a motivation to a younger person.,,,,,,,,,,,I can see why people would find this inspiring but I have no plan to have children.,,,,,It's a good statistic.,,A positive incentive to give up.,,,It's a good thing.,,,This is how I'm planning to quit.,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,I worry a great deal about how aging smoking is. Showing these figures hits home.,,,,,,,,,This would make me consider quitting.,,,,,,,,,,"I feel like I have failed before, I find this statement reassuring.",,,,These are quite obvious statements and most smokers will have tried this before.,,,I wasnâ€™t aware of how much less harmful e cigarettes are. Showing these statistics would entice me to quit. ,,,,,,I havenâ€™t rated this as highly as a percentage how less harmful they are wasnâ€™t given. 
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at lot of people who have given up - that i have been acquainted with - have died relatively soon after giving up,"again i didn't find the benefits fast enough - not a lot changed but this would seem to be a good motivator, the patches work the best, the novelty wore off",,,,this seems relatively fast - it is a good motivator - but when I have tried i haven't always found the benefits to come quickly.,,,,,,,,,,,,,,,"no - i didn't have anyone around, and to the cessation people you are just a statistic.",,"it wasn't a money thing or anything else - i had a scare which proved not to be anything in the end.  I tried various times, after a few months, even 8 months, the novelty (if that's the word) wore off, there needs to be more substitutes or even a ban because all you see are smokers and i tried acupuncture.",the patches were the better of the options - but you then have to find something else to do - they helped make me live a different way and helped at the time to make me live differently with varying views on other things such as food tastes and types of substitutes,
193,,,,,,,,,,,,,,,,,,,,,Fact,,,,,,,,,,No comment,,,,,,,,Good to know,,Great advice ,,,,My Gp no longer prescribes these smoking alternatives,,,,,,,I would never use an e-cigarette as there is not enough research on the effects it can cause long term,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,The message only appeals to those on low incomes. ,,,The message is motivating because it mentions the health impact of friends and family. ,,,,,,,,,The message focuses on health. ,,,,E cigarettes are a healthier option. ,,,,,,,,,,,,Having a clear action plan would be beneficial. ,"Regular reminders, by reading the list, would be a good motivational tool to stop smoking. ",,
195,,,,,,,,,,,,,,,,,,,,,,"Although this is accurate, I currently would not have an equivalent immediate release of dopamine/serotonin akin to nicotine, the thought of not having that now even stresses me.",,,"Concerns me, but I feel it isn't the most off-putting thing about smoking as it is more superficial than some other effects.",,,,,,,"The argument bringing potential children into the scenario certainly forces me to think about other perspectives, although since I may or may not have them, it's currently less compelling than the questions of immediate health.",,,,,,,"By emphasis the benefits of stopping in the future, rather than reflecting the damage already done by smokers, resonates positively. I like questions of 'what can I do now?', rather than 'what I have done/am doing?'. ",,,,,"Again like the last statement, this one reinforces the positive message that quitting is attainable, rather than focus on the negative effects symptomatic of smoking which I already am aware of.",,,,,,"This statement turns stopping smoking, something I equate to an extreme challenge, to something more realistic and manageable and therefore it gives me hope of stopping.",,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,some people don't care about others,,,,relatively effective,,,,they could also include more layman terms and strong words such as death,very effective,,,,,,,,,,,,,not everyone knows what cold turkey means,it would be better if they added any helplines,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,"Yes, I am aware of these claims. It is useful to bear in mind.",,I would want more facts and evidence about this kind of statement.,"It is reassuring to think that most people don't put on weight, but I would want a more exact figure and evidence, because I don't think it's true.",,,,"I think all smokers think about how much they spend. It is like stating the obvious, as if smokers are too dumb too count, as is therefore bordering on being extremely patronising.",,,,,,,,,"I think most smokers already know this, but it is useful to be reminded.",,,,,,,,,,,,,,,,,,,,I think this is misleading. This comparison only holds if comparing with overpriced brands. Buying less branded or generic gum and similar will also cost Â£8 a week or less.,
198,,,,,,,,,,,,,,,,,,I would like to stop smoking but find it really hard ,,,,,,I don't smoke near other people I always smoke outside ,,,,,,,,,,This really makes me want to stop,,,,,,,,,,,,,,,I have stopped before and then started again ,,,I have tried e cigs and I don't like them,I would definitely have the support ,,,,
199,,,,,,,,,,,,,,,,,,,,,"Maybe some quantifiable measurement related to the blood oxygen level, to give it some weight. It could mean anything in the way it is stated there. It wouldn't concern me as I don't know what it means.  I don't notice any difference in my sense of taste or smell, smoking or not, that said I don't smoke in the week usually.",,"I never put on weight, not concerned about that idea really.",,,,,,,,,,,,,,,Sounds pretty promising. ,,Last time I cut myself it took a long time to stop bleeding. Would prefer my blood to clot at some point.,,"E cigarettes taste horrid. Also, how bad are they for you?",,,,,,,,,,,,,,,Because they taste awful. I'd rather just straight up stop. Also you don't end up looking like the smug e-cig smokers.
